Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Hasheem Thabeet,C,25,OKC,66,4,770,3,5,0.604,0,0,,3,5,0.604,1.5,2.5,0.604,3.2,5.9,9.1,0.5,1.4,2.8,1.9,6.9,7.5
Isaiah Thomas,PG,23,SAC,79,62,2122,6.2,14.1,0.44,2,5.4,0.358,4.3,8.7,0.491,4.3,4.9,0.882,0.5,2.2,2.7,5.4,1.1,0.1,2.4,2.8,18.7
Kurt Thomas,PF,40,NYK,39,17,392,4.1,7.6,0.542,0.1,0.1,1,4,7.5,0.537,0.6,1.2,0.462,2.2,6,8.2,1.9,0.9,1.5,0.7,4.8,8.9
Lance Thomas,SF,24,NOH,59,9,646,3,5.9,0.5,0,0,,3,5.9,0.5,2.4,3.3,0.729,2.5,4,6.4,0.9,0.6,0.4,0.8,4.3,8.3
Malcolm Thomas,PF,24,TOT,12,0,57,3.2,6.3,0.5,0,0,,3.2,6.3,0.5,3.2,5.1,0.625,3.2,6.9,10.1,2.5,1.3,1.3,1.9,5.1,9.5
Malcolm Thomas,PF,24,GSW,5,0,21,0,1.7,0,0,0,,0,1.7,0,5.1,6.9,0.75,0,8.6,8.6,3.4,0,1.7,1.7,1.7,5.1
Malcolm Thomas,PF,24,CHI,7,0,36,5,9,0.556,0,0,,5,9,0.556,2,4,0.5,5,6,11,2,2,1,2,7,12
Tyrus Thomas,PF,26,CHA,26,2,360,4.8,13.6,0.353,0.3,0.8,0.375,4.5,12.8,0.352,2.6,3.1,0.839,1.6,4.4,6,1.9,1.4,1.5,1.7,5.1,12.5
Jason Thompson,PF,26,SAC,82,81,2285,5.9,11.7,0.502,0,0,0,5.9,11.7,0.504,2.3,3.2,0.694,2.7,5.9,8.6,1.3,0.8,1,1.6,3.6,14
Klay Thompson,SG,22,GSW,82,82,2936,6.2,14.8,0.422,2.6,6.4,0.401,3.6,8.3,0.437,1.6,1.9,0.841,0.4,3.4,3.8,2.2,1.1,0.6,1.9,2.9,16.7
Tristan Thompson,PF,21,CLE,82,82,2564,5.5,11.2,0.488,0,0,0,5.5,11.2,0.49,2.5,4.1,0.608,4.3,6.6,10.9,1.5,0.8,1,1.7,3.3,13.4
Marcus Thornton,SG,25,SAC,72,8,1726,6.9,16.1,0.429,2.9,7.9,0.372,4,8.2,0.484,2.3,2.6,0.881,1,2.7,3.8,1.9,1.3,0.1,1.4,2.2,19.1
Jamaal Tinsley,PG,34,UTA,66,32,1221,2.5,6.9,0.368,1.1,3.7,0.307,1.4,3.2,0.439,0.5,0.8,0.692,0.5,2.9,3.4,8.6,1.9,0.4,3.1,3.1,6.8
Anthony Tolliver,SF,27,ATL,62,11,963,3.1,8.1,0.38,1.7,5,0.338,1.4,3.1,0.446,1.6,1.9,0.863,1.2,4.6,5.8,1.2,0.6,0.4,1.3,2.5,9.5
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
P.J. Tucker,SG,27,PHO,79,45,1910,4,8.4,0.473,0.4,1.3,0.314,3.5,7,0.503,1.2,1.6,0.744,2.5,4.1,6.6,2.1,1.2,0.4,1.3,2.7,9.5
Ronny Turiaf,C,30,LAC,65,0,701,2.5,5,0.505,0,0,,2.5,5,0.505,1.2,3.2,0.365,2.3,5.5,7.8,1.8,1,1.8,1.5,4.1,6.2
Hedo Turkoglu,SF,33,ORL,11,1,189,2.7,10.1,0.264,0.2,4.6,0.042,2.5,5.5,0.448,0.6,1.1,0.5,0.8,4.2,5,4.4,1.3,0.2,2.3,2.1,6.1
Evan Turner,SF,24,PHI,82,82,2892,5.5,13.1,0.419,0.7,2,0.365,4.8,11.1,0.428,1.9,2.6,0.74,0.7,5.7,6.4,4.4,0.9,0.2,2.3,2.5,13.6
Jeremy Tyler,C,21,TOT,21,0,68,4.8,12.7,0.375,0,0,,4.8,12.7,0.375,2.1,3.2,0.667,3.2,7.4,10.6,0.5,0.5,1.1,3.2,5.3,11.6
