Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,PF,24,NYK,68,22,1287,4.3,9.3,0.459,0.5,1.7,0.3,3.7,7.6,0.494,2.1,2.7,0.784,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1
Jordan Adams,SG,20,MEM,30,0,248,5.1,12.5,0.407,1.5,3.6,0.4,3.6,8.9,0.41,2,3.3,0.609,1.3,2.8,4.1,2.3,2.3,1,2,3.5,13.6
Steven Adams,C,21,OKC,70,67,1771,4.4,8.1,0.544,0,0,0,4.4,8.1,0.547,2.1,4.2,0.502,4,6.6,10.6,1.3,0.8,1.7,2,4.5,10.9
Jeff Adrien,PF,28,MIN,17,0,215,3.2,7.4,0.432,0,0,,3.2,7.4,0.432,3.7,6.4,0.579,3.9,9,12.9,2.5,0.7,1.5,1.5,5,10
Arron Afflalo,SG,29,TOT,78,72,2502,5.4,12.7,0.424,1.7,4.8,0.354,3.7,7.9,0.466,2.4,2.8,0.843,0.4,3.2,3.6,1.9,0.6,0.1,1.7,2.4,14.9
Arron Afflalo,SG,29,DEN,53,53,1750,5.8,13.5,0.428,1.7,5,0.337,4.1,8.5,0.481,2.6,3.1,0.841,0.4,3.3,3.7,2.1,0.7,0.1,1.7,2.2,15.9
Arron Afflalo,SG,29,POR,25,19,752,4.5,10.9,0.414,1.7,4.3,0.4,2.8,6.6,0.423,1.9,2.3,0.851,0.3,2.9,3.2,1.3,0.4,0.1,1.6,2.8,12.6
Alexis Ajinca,C,26,NOP,68,8,957,6.8,12.4,0.55,0,0,,6.8,12.4,0.55,3,3.7,0.818,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7
Furkan Aldemir,PF,23,PHI,41,9,540,2.7,5.2,0.513,0,0.3,0,2.7,4.9,0.548,0.9,1.8,0.481,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2
Cole Aldrich,C,26,NYK,61,16,976,5.3,11.1,0.478,0,0,,5.3,11.1,0.478,1.8,2.4,0.781,3.7,8.7,12.5,2.8,1.4,2.4,2.2,4.5,12.5
LaMarcus Aldridge,PF,29,POR,71,71,2512,9.4,20.3,0.466,0.5,1.5,0.352,8.9,18.8,0.475,4.4,5.2,0.845,2.5,7.9,10.4,1.8,0.7,1,1.7,1.8,23.8
Lavoy Allen,PF,25,IND,63,0,1070,4.7,10.1,0.472,0,0,,4.7,10.1,0.472,1.1,1.6,0.702,4.1,6.7,10.9,2.5,0.5,1.4,1.3,3.4,10.6
