Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Allen,SG,33,MEM,63,41,1648,4.9,9.9,0.495,0.2,0.6,0.345,4.7,9.3,0.505,1.7,2.8,0.627,2.3,3.9,6.1,1.9,2.8,0.7,1.9,3.6,11.8
Al-Farouq Aminu,SF,24,DAL,74,3,1366,3.9,9.4,0.412,0.9,3.3,0.274,3,6.1,0.485,2.2,3.1,0.712,3,6,9,1.6,1.8,1.6,1.4,3.6,10.9
Louis Amundson,PF,32,TOT,53,35,937,4.2,9.8,0.427,0,0,0,4.2,9.8,0.429,1.6,3.3,0.471,3.6,6.7,10.3,2.7,0.8,2,2.4,4.8,10
Louis Amundson,PF,32,CLE,12,0,79,1.8,5.5,0.333,0,0,,1.8,5.5,0.333,1.4,2.3,0.6,2.3,6.8,9.1,2.3,0.5,0,2.3,5,5
Louis Amundson,PF,32,NYK,41,35,858,4.4,10.2,0.432,0,0,0,4.4,10.2,0.434,1.6,3.4,0.463,3.7,6.7,10.4,2.7,0.9,2.2,2.4,4.8,10.4
Chris Andersen,C,36,MIA,60,20,1132,3.8,6.6,0.58,0.1,0.4,0.308,3.7,6.2,0.598,2.4,3.6,0.667,2.4,7.1,9.5,1.4,0.8,1.9,1.3,2.8,10.2
Alan Anderson,SG,32,BRK,74,19,1744,4,9.1,0.443,1.5,4.3,0.348,2.5,4.7,0.53,1.7,2.1,0.812,0.6,3.6,4.2,1.7,1.2,0.1,1.2,3.1,11.3
Kyle Anderson,SF,21,SAS,33,8,358,3.1,8.9,0.348,0.3,1.1,0.273,2.8,7.8,0.359,0.9,1.4,0.643,0.5,6.7,7.2,2.8,1.5,0.7,1,2.8,7.4
Ryan Anderson,PF,26,NOP,61,5,1675,6.3,15.7,0.399,2.6,7.7,0.34,3.6,8,0.457,2.8,3.2,0.854,2.3,4,6.3,1.2,0.7,0.4,1.3,2.4,17.9
Giannis Antetokounmpo,SG,20,MIL,81,71,2541,5.4,11.1,0.491,0.1,0.6,0.159,5.3,10.4,0.511,3.6,4.9,0.741,1.4,6.3,7.7,2.9,1,1.2,2.5,3.6,14.6
Carmelo Anthony,SF,30,NYK,40,40,1428,9,20.3,0.444,1.5,4.5,0.341,7.5,15.8,0.474,4.8,6,0.797,1.8,4.8,6.7,3.1,1,0.4,2.2,2.2,24.4
Joel Anthony,C,32,DET,49,0,406,3.2,5.5,0.581,0,0,,3.2,5.5,0.581,1.3,2,0.682,2.8,5.4,8.2,0.4,1.1,4.3,1.1,4.9,7.7
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pero Antic,PF,32,ATL,63,3,1037,3.7,10.3,0.365,1.8,6,0.301,1.9,4.3,0.455,3.1,4.3,0.715,2,4.5,6.6,1.7,0.6,0.5,1.7,4.6,12.4
Trevor Ariza,SF,29,HOU,82,82,2930,4.5,11.2,0.402,2.4,6.8,0.35,2.1,4.4,0.485,1.5,1.8,0.853,0.9,4.7,5.6,2.6,1.9,0.2,1.7,2.3,12.9
Darrell Arthur,PF,26,DEN,58,4,988,5.6,14,0.404,0.9,4,0.236,4.7,10,0.471,1.7,2.1,0.78,1.9,4.3,6.2,2.1,1.7,0.9,1.7,5.3,13.9
Omer Asik,C,28,NOP,76,76,1982,3.9,7.5,0.517,0,0,,3.9,7.5,0.517,2.4,4.1,0.582,4.4,9.2,13.6,1.3,0.5,1,1.7,2.6,10.1
D.J. Augustin,PG,27,TOT,82,14,1964,4.7,11.9,0.399,1.5,4.5,0.337,3.2,7.4,0.436,3.3,3.8,0.868,0.4,2.6,3,6.5,0.9,0.1,2.7,1.7,14.2
D.J. Augustin,PG,27,DET,54,13,1287,5.3,12.9,0.41,1.4,4.2,0.327,3.9,8.7,0.45,4.1,4.7,0.87,0.4,2.4,2.8,7.4,0.9,0.1,3.1,1.7,16.1
D.J. Augustin,PG,27,OKC,28,1,677,3.7,9.9,0.371,1.8,5.1,0.354,1.9,4.8,0.389,1.6,1.9,0.861,0.4,2.9,3.2,4.7,0.9,0.1,1.9,1.7,10.8
Jeff Ayres,PF,27,SAS,51,0,383,5.2,8.9,0.579,0,0,,5.2,8.9,0.579,2.5,3.4,0.75,3.5,7.5,11,1.3,0.8,0.8,2.4,5.6,12.9
Luke Babbitt,SF,25,NOP,63,19,830,4,8.3,0.479,2.6,5,0.513,1.4,3.3,0.429,0.6,0.8,0.684,0.5,4.3,4.8,1,0.7,0.5,1.1,2.7,11.1
Cameron Bairstow,PF,24,CHI,18,1,64,1.7,7.9,0.214,0,0,,1.7,7.9,0.214,2.3,2.8,0.8,3.4,1.1,4.5,0.6,1.1,0.6,1.7,4.5,5.6
Leandro Barbosa,SG,32,GSW,66,1,982,6.7,14.2,0.474,1.6,4.1,0.384,5.1,10,0.511,2.1,2.7,0.784,0.8,2.5,3.3,3.6,1.5,0.3,1.6,3.2,17.1
Jose Barea,PG,30,DAL,77,10,1362,5.9,14.2,0.42,1.4,4.4,0.323,4.5,9.8,0.463,2,2.5,0.809,0.6,2.9,3.5,7,0.9,0,1.9,2.7,15.3
Andrea Bargnani,C,29,NYK,29,22,785,7.5,16.6,0.454,0.7,1.9,0.366,6.8,14.7,0.466,4,4.9,0.813,1.5,4.4,5.8,2.1,0.1,1.2,1.9,2.4,19.7
Harrison Barnes,SF,22,GSW,82,82,2318,4.9,10.2,0.482,1.4,3.3,0.405,3.6,6.8,0.519,1.7,2.3,0.72,1.8,5.2,7,1.8,0.9,0.3,1.1,2.3,12.8
Matt Barnes,SF,34,LAC,76,74,2271,4.4,9.9,0.444,2.2,6,0.362,2.2,3.9,0.569,1.2,1.5,0.779,0.8,4,4.8,1.8,1.1,0.8,1.4,3.8,12.1
Earl Barron,C,33,PHO,16,1,143,3,9.8,0.308,0.5,1,0.5,2.5,8.8,0.286,1.5,3,0.5,3.5,3.5,7,1.3,1,0.5,1.3,6.5,8.1
Will Barton,SG,24,TOT,58,0,983,5.5,12.9,0.425,0.8,3.1,0.271,4.7,9.8,0.474,2.7,3.4,0.787,1,5,5.9,3,1.8,0.7,2.2,2.6,14.5
Will Barton,SG,24,POR,30,0,300,4.6,12,0.38,0.5,2.2,0.222,4.1,9.8,0.415,1.2,1.8,0.667,0.4,3.7,4.1,3.2,1.7,0.5,2,2.4,10.8
Will Barton,SG,24,DEN,28,0,683,5.9,13.3,0.443,1,3.5,0.284,4.9,9.8,0.5,3.4,4.2,0.81,1.2,5.5,6.7,2.8,1.8,0.8,2.3,2.6,16.2
Brandon Bass,PF,29,BOS,82,43,1929,6.4,12.7,0.504,0.2,0.6,0.281,6.3,12.1,0.515,3.2,4,0.79,2.6,4.8,7.4,1.9,0.8,0.6,1.5,2.6,16.2
Nicolas Batum,SF,26,POR,71,71,2380,3.6,9.1,0.4,1.5,4.7,0.324,2.1,4.4,0.481,1.3,1.5,0.857,0.9,5.4,6.3,5.2,1.2,0.6,2,1.6,10
Jerryd Bayless,PG,26,MIL,77,4,1717,4.6,10.8,0.426,0.8,2.5,0.308,3.8,8.3,0.462,2.5,2.9,0.883,0.5,4,4.4,4.9,1.2,0.3,2.8,3.4,12.5
Aron Baynes,C,28,SAS,70,17,1122,5.9,10.5,0.566,0,0.1,0.25,5.9,10.4,0.57,2.9,3.3,0.865,3.5,6.7,10.2,1.1,0.5,0.7,2.1,5.2,14.8
Kent Bazemore,SG,25,ATL,75,10,1324,3.8,9,0.426,1.3,3.6,0.364,2.5,5.4,0.467,1.6,2.7,0.6,0.6,5.5,6,2.1,1.4,0.9,2,3.5,10.6
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bradley Beal,SG,21,WAS,63,59,2107,6.2,14.5,0.427,1.8,4.4,0.409,4.4,10.1,0.434,2.2,2.8,0.783,1,3.1,4.1,3.3,1.3,0.3,2.1,2.3,16.4
Michael Beasley,SF,26,MIA,24,1,505,6.6,15.1,0.434,0.6,2.4,0.235,6,12.7,0.472,1.4,1.9,0.769,0.9,5.5,6.3,2.3,1.1,0.9,2.6,4.7,15.1
Marco Belinelli,SG,28,SAS,62,9,1388,5.2,12.2,0.423,2.2,6,0.374,2.9,6.2,0.471,2.2,2.6,0.848,0.7,3.4,4.1,2.4,0.8,0.1,1.6,2.2,14.7
Jerrelle Benimon,PF,23,UTA,2,0,3,0,0,,0,0,,0,0,,0,0,,12,24,36,0,0,0,12,0,0
Anthony Bennett,PF,21,MIN,57,3,894,5,12,0.421,0.3,0.9,0.304,4.8,11,0.431,1.7,2.6,0.641,2.1,6.6,8.7,1.9,1.1,0.6,1.4,3.5,12
Patrick Beverley,PG,26,HOU,56,55,1727,4.3,11.1,0.383,2.4,6.7,0.356,1.9,4.4,0.426,0.9,1.3,0.75,1.4,3.5,4.9,4,1.2,0.5,1.7,3.8,11.8
Sim Bhullar,C,22,SAC,3,0,3,12,24,0.5,0,0,,12,24,0.5,0,0,,0,12,12,12,0,12,0,0,24
Bismack Biyombo,C,22,CHO,64,21,1243,2.9,5.4,0.543,0,0,,2.9,5.4,0.543,3,5.1,0.583,4.6,7.2,11.8,0.5,0.5,2.9,1.5,4.1,8.8
Tarik Black,C,23,TOT,63,39,1196,4.7,8.2,0.575,0,0,0,4.7,8.2,0.577,2,3.6,0.551,4.3,6.8,11.1,1.3,0.6,0.7,1.4,4.8,11.4
Tarik Black,C,23,HOU,25,12,393,4.1,7.6,0.542,0,0.1,0,4.1,7.5,0.549,1.4,2.7,0.517,5.3,6.3,11.6,0.7,0.5,0.2,1.7,5.1,9.6
Tarik Black,C,23,LAL,38,27,803,5,8.5,0.589,0,0,,5,8.5,0.589,2.2,4,0.562,3.8,7,10.8,1.5,0.6,1,1.3,4.6,12.3
DeJuan Blair,PF,25,WAS,29,0,180,5.2,11.4,0.456,0,0,,5.2,11.4,0.456,0.8,1.2,0.667,3.2,8,11.2,0.6,1.4,0.2,2.6,8.2,11.2
Steve Blake,PG,34,POR,81,0,1529,2.9,7.7,0.373,1.8,5.2,0.352,1.1,2.5,0.417,0.7,1,0.707,0.4,2.8,3.2,6.8,1,0.1,2.4,2.8,8.2
Eric Bledsoe,PG,25,PHO,81,81,2800,6,13.4,0.447,1.1,3.5,0.324,4.9,10,0.491,4.5,5.7,0.8,0.9,4.5,5.4,6.3,1.6,0.6,3.5,2.4,17.7
Vander Blue,SG,22,LAL,2,1,74,4.4,14.6,0.3,1,4.9,0.2,3.4,9.7,0.35,1,2.4,0.4,1,3.4,4.4,3.9,1.5,0,2.9,1.9,10.7
Bojan Bogdanovic,SF,25,BRK,78,28,1854,5.1,11.2,0.453,1.8,5,0.355,3.3,6.2,0.531,1.7,2.1,0.821,1,3.2,4.1,1.3,0.7,0.2,1.5,2,13.6
Andrew Bogut,C,30,GSW,67,65,1583,4.5,8.1,0.563,0,0,,4.5,8.1,0.563,0.5,1,0.524,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6
Matt Bonner,PF,34,SAS,72,19,935,3.6,8.9,0.409,1.8,4.9,0.365,1.8,4,0.462,1.2,1.4,0.811,1.1,3.3,4.4,1.8,0.4,0.5,0.4,2.5,10.2
Trevor Booker,PF,27,UTA,79,5,1564,5.2,10.7,0.487,0.7,1.9,0.345,4.5,8.7,0.518,2,3.4,0.581,3.2,5.9,9.1,1.9,1,0.9,2,3.3,13.1
Carlos Boozer,PF,33,LAL,71,26,1692,7.9,15.8,0.499,0,0,,7.9,15.8,0.499,2,3.2,0.627,2.4,7.9,10.3,2,0.9,0.3,2,3.9,17.8
Chris Bosh,C,30,MIA,44,44,1556,7.9,17.2,0.46,1.5,3.9,0.375,6.5,13.3,0.485,4.1,5.4,0.772,1.1,6.1,7.2,2.2,0.9,0.6,2.2,1.6,21.5
Avery Bradley,SG,24,BOS,77,77,2428,6.4,15,0.429,1.8,5.2,0.352,4.6,9.8,0.47,1.2,1.5,0.79,0.7,2.9,3.6,2,1.2,0.2,1.6,2.6,15.9
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Elton Brand,PF,35,ATL,36,4,486,3.1,7,0.442,0,0.1,0,3.1,7,0.447,0.9,1.7,0.522,2.1,5.3,7.4,1.6,1.3,1.9,1.3,4,7.1
Corey Brewer,SF,28,TOT,80,17,2087,5.9,13.9,0.426,1.1,4.1,0.268,4.8,9.8,0.491,2.9,3.9,0.743,1.4,3.7,5.1,3,2,0.3,2.3,3,15.8
Corey Brewer,SF,28,MIN,24,16,680,5,11.9,0.418,0.4,2.2,0.195,4.6,9.7,0.467,2.9,4.1,0.705,1.7,3.3,5,4.1,2.9,0.2,2.6,3.3,13.3
Corey Brewer,SF,28,HOU,56,1,1407,6.4,14.8,0.429,1.4,5,0.284,5,9.9,0.503,2.9,3.8,0.764,1.2,4,5.2,2.4,1.5,0.4,2.1,2.8,17
Aaron Brooks,PG,30,CHI,82,21,1885,6.6,15.6,0.421,2.3,6,0.387,4.3,9.6,0.442,2.8,3.3,0.833,0.6,2.6,3.2,5,1,0.3,3,3.6,18.2
Jabari Brown,SG,22,LAL,19,5,568,4.4,10.8,0.412,1.5,3.9,0.371,3,6.8,0.435,4.1,5.4,0.753,0.2,2.1,2.3,2.5,0.8,0.1,2,2.1,14.4
Lorenzo Brown,PG,24,MIN,29,7,549,3.4,8,0.426,0.4,1.8,0.214,3,6.2,0.489,0.8,1.2,0.632,0.9,3.7,4.6,5.9,1.8,0.4,2,3.2,8
Markel Brown,SG,23,BRK,47,29,781,3.5,9.7,0.362,0.8,3,0.266,2.7,6.7,0.404,2.2,2.6,0.825,0.7,4.2,4.9,1.8,1.4,0.6,1.2,2.6,10
Shannon Brown,SG,29,MIA,5,2,89,2.8,7.7,0.368,1.2,2.8,0.429,1.6,4.9,0.333,1.2,1.6,0.75,0,0.4,0.4,1.2,1.6,0,1.6,3.2,8.1
Kobe Bryant,SG,36,LAL,35,35,1207,7.9,21.3,0.373,1.6,5.5,0.293,6.3,15.8,0.401,5.8,7.2,0.813,0.8,5.2,5.9,5.9,1.4,0.2,3.8,1.9,23.3
Chase Budinger,SF,26,MIN,67,4,1286,4.7,10.9,0.433,1.5,4,0.364,3.3,6.9,0.474,1.9,2.3,0.827,0.9,4.6,5.5,1.8,1.2,0.3,1.4,2,12.8
Reggie Bullock,SF,23,TOT,36,2,338,2.6,7.5,0.343,1.6,4.9,0.326,1,2.6,0.375,0.6,1,0.667,0.1,5.2,5.3,0.9,1.1,0.4,0.9,2,7.3
Reggie Bullock,SF,23,LAC,25,2,263,3.1,7.4,0.426,2.1,5.3,0.385,1.1,2.1,0.533,0.5,0.7,0.8,0,5.5,5.5,0.8,1.2,0.3,0.8,2.3,8.9
Reggie Bullock,SF,23,PHO,11,0,75,0.5,7.7,0.063,0,3.4,0,0.5,4.3,0.111,1,1.9,0.5,0.5,4.3,4.8,1,0.5,1,1,1,1.9
Trey Burke,PG,22,UTA,76,43,2288,5.8,15.8,0.368,2,6.1,0.318,3.9,9.7,0.4,1.7,2.3,0.752,0.5,2.7,3.2,5.2,1,0.2,2,1.9,15.3
Alec Burks,SG,23,UTA,27,27,899,4.8,12,0.403,1,2.7,0.382,3.8,9.3,0.409,4.2,5.2,0.822,0.8,3.8,4.6,3.3,0.7,0.2,2.1,2.6,15
Caron Butler,SF,34,DET,78,21,1623,3.6,8.8,0.407,1.8,4.9,0.379,1.7,3.9,0.441,1.2,1.4,0.902,0.5,3.9,4.3,1.8,1,0.1,1.1,2.7,10.2
Jimmy Butler,SG,25,CHI,65,65,2513,6,13.1,0.462,1,2.8,0.378,5,10.3,0.484,5.5,6.6,0.834,1.6,3.8,5.4,3,1.6,0.5,1.3,1.5,18.6
Rasual Butler,SF,35,WAS,75,1,1505,5.2,12.4,0.422,2.2,5.6,0.387,3,6.7,0.45,1.3,1.6,0.791,0.6,4.1,4.7,1.5,0.7,0.5,1.1,2.3,13.9
Dwight Buycks,PG,25,LAL,6,0,123,5.3,11.7,0.45,2,3.2,0.636,3.2,8.5,0.379,2.6,2.9,0.9,0.6,2.9,3.5,4.1,0.9,0,3.5,0.9,15.2
Will Bynum,SG,32,WAS,7,0,67,5.4,16.7,0.323,0,4.8,0,5.4,11.8,0.455,1.1,2.1,0.5,1.1,2.1,3.2,9.7,0.5,0.5,4.3,4.8,11.8
Bruno Caboclo,SF,19,TOR,8,0,23,6.3,18.8,0.333,3.1,4.7,0.667,3.1,14.1,0.222,0,0,,1.6,1.6,3.1,0,0,1.6,6.3,4.7,15.7
Nick Calathes,SG,25,MEM,58,0,838,4.5,10.6,0.421,0.5,1.8,0.256,4,8.8,0.456,1,1.9,0.533,0.8,3.7,4.6,6.3,2.7,0.2,2.6,4.3,10.4
Jose Calderon,PG,33,NYK,42,42,1270,4.2,10,0.415,1.7,4,0.415,2.5,6,0.415,0.8,0.9,0.906,0.5,3,3.5,5.6,0.9,0,2.1,2.2,10.8
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kentavious Caldwell-Pope,SG,21,DET,82,82,2587,5.4,13.5,0.401,2.1,6.2,0.345,3.3,7.3,0.449,1.5,2.2,0.696,0.6,2.9,3.5,1.5,1.3,0.3,1.3,2.2,14.5
Isaiah Canaan,PG,23,TOT,47,21,938,5.6,14.5,0.386,3.5,9.4,0.37,2.1,5.1,0.417,1.9,2.3,0.817,0.7,2.6,3.3,3.8,1.1,0.1,2.4,3.2,16.6
Isaiah Canaan,PG,23,HOU,25,9,369,5.2,12.8,0.405,3.1,8.2,0.381,2,4.6,0.447,1.6,2,0.762,1.1,2.1,3.2,2.8,1.4,0,2.2,2.7,15
Isaiah Canaan,PG,23,PHI,22,12,569,5.9,15.6,0.377,3.7,10.2,0.364,2.2,5.4,0.4,2.1,2.5,0.846,0.4,3,3.4,4.4,0.9,0.2,2.5,3.5,17.6
Clint Capela,C,20,HOU,12,0,90,5.6,11.6,0.483,0,0,,5.6,11.6,0.483,1.6,9.2,0.174,4,10.4,14.4,0.8,0.4,3.6,2,5.6,12.8
DeMarre Carroll,SF,28,ATL,70,69,2189,5.2,10.7,0.487,2,5,0.395,3.3,5.7,0.567,2.1,3,0.702,1.6,4.5,6.1,1.9,1.5,0.3,1.2,2.5,14.5
Vince Carter,SG,38,MEM,66,1,1091,4.5,13.4,0.333,2.3,7.7,0.297,2.2,5.7,0.379,1.5,1.9,0.789,0.9,3.5,4.4,2.6,1.4,0.5,1.4,3.4,12.7
Michael Carter-Williams,PG,23,TOT,66,63,2149,6.1,15.4,0.396,0.6,2.6,0.235,5.5,12.8,0.428,3.4,4.9,0.694,1.1,4.8,5.9,7.4,1.9,0.5,4.2,2.8,16.2
Michael Carter-Williams,PG,23,PHI,41,38,1391,6,15.8,0.38,0.8,3.2,0.256,5.2,12.6,0.412,3,4.7,0.643,1.1,5.5,6.6,7.8,1.6,0.5,4.5,2.7,15.9
Michael Carter-Williams,PG,23,MIL,25,25,758,6.3,14.6,0.429,0.2,1.3,0.143,6.1,13.3,0.457,4,5.2,0.78,1,3.7,4.7,6.6,2.4,0.6,3.8,3,16.8
Omri Casspi,SF,26,SAC,67,19,1416,5.3,10.9,0.489,0.9,2.2,0.402,4.4,8.6,0.512,3.6,4.9,0.733,1.4,5.2,6.6,2.6,0.8,0.2,2.2,2.7,15.1
Mario Chalmers,PG,28,MIA,80,37,2368,4.1,10.1,0.403,1.1,3.8,0.294,2.9,6.3,0.467,3.1,4,0.774,0.4,2.8,3.1,4.7,1.9,0.2,2.6,3.8,12.4
Tyson Chandler,C,32,DAL,75,75,2286,4.6,6.9,0.666,0,0,,4.6,6.9,0.666,2.9,4,0.72,4.6,9,13.6,1.3,0.7,1.4,1.7,2.7,12.1
Wilson Chandler,SF,27,DEN,78,75,2471,6.1,14.2,0.429,2,5.9,0.342,4.1,8.3,0.49,1.6,2.1,0.775,1.4,5.5,6.9,2,0.8,0.4,1.6,3.4,15.8
Will Cherry,PG,23,CLE,8,0,69,2.6,9.9,0.263,1,4.7,0.222,1.6,5.2,0.3,1.6,3.1,0.5,0.5,2.1,2.6,4.2,3.1,0.5,2.1,5.2,7.8
Patrick Christopher,SG,26,UTA,4,1,29,3.7,14.9,0.25,0,5,0,3.7,9.9,0.375,0,0,,2.5,5,7.4,0,1.2,0,1.2,7.4,7.4
Earl Clark,PF,27,BRK,10,0,93,4.3,11.6,0.367,1.5,5.4,0.286,2.7,6.2,0.438,0.4,1.5,0.25,0.4,8.5,8.9,1.2,1.2,1.5,2.3,4.6,10.5
Ian Clark,SG,23,TOT,30,0,192,3.6,10.3,0.345,1.9,5.6,0.333,1.7,4.7,0.36,1.7,1.7,1,0.7,2.3,3,2.3,1.7,0.6,1.7,3.7,10.7
Ian Clark,SG,23,UTA,23,0,161,3.4,9.8,0.341,2,5.6,0.36,1.3,4.2,0.316,1.1,1.1,1,0.9,2,2.9,2.2,1.3,0.4,1.6,2.7,9.8
Ian Clark,SG,23,DEN,7,0,31,4.6,12.8,0.364,1.2,5.8,0.2,3.5,7,0.5,4.6,4.6,1,0,3.5,3.5,2.3,3.5,1.2,2.3,9.3,15.1
Jordan Clarkson,PG,22,LAL,59,38,1476,6.5,14.5,0.448,0.9,3,0.314,5.6,11.6,0.482,3.2,3.9,0.829,1.4,3.3,4.7,5,1.2,0.3,2.3,2.7,17.1
Victor Claver,SF,26,POR,10,0,76,4.3,9.5,0.45,2.8,5.2,0.545,1.4,4.3,0.333,0,0,,1.4,8.1,9.5,0.5,0.5,0.5,1.9,5.7,11.4
Norris Cole,PG,26,TOT,75,25,1831,4.5,11,0.412,1.1,3.5,0.313,3.4,7.5,0.458,1.1,1.6,0.716,0.3,2.9,3.1,5,1.1,0.3,1.9,2.4,11.3
Norris Cole,PG,26,MIA,47,23,1148,3.7,9.6,0.386,0.8,3.2,0.265,2.9,6.4,0.446,1,1.4,0.696,0.4,3,3.4,5.2,1.3,0.3,1.8,2.4,9.3
Norris Cole,PG,26,NOP,28,2,683,5.9,13.3,0.444,1.5,3.9,0.378,4.4,9.4,0.472,1.4,1.8,0.743,0.1,2.6,2.7,4.7,0.8,0.4,2.2,2.6,14.7
Darren Collison,PG,27,SAC,45,45,1565,6,12.7,0.473,1.4,3.7,0.373,4.6,8.9,0.514,3.3,4.2,0.788,0.4,2.9,3.3,5.8,1.5,0.3,2.6,2.2,16.7
Nick Collison,PF,34,OKC,66,2,1101,3.5,8.3,0.419,0.5,2,0.267,2.9,6.3,0.466,1.5,2.1,0.692,2.9,5.2,8.2,2.9,1.1,0.8,1.5,5.1,8.9
Mike Conley,PG,27,MEM,70,70,2225,6.4,14.3,0.446,1.7,4.5,0.386,4.6,9.8,0.473,3.5,4,0.859,0.5,2.9,3.4,6.1,1.4,0.2,2.5,2.2,17.9
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jack Cooley,PF,23,UTA,16,0,87,3.7,9.1,0.409,0,0,,3.7,9.1,0.409,3.7,8.7,0.429,4.1,6.2,10.3,0.4,2.5,1.2,1.2,9.5,11.2
Chris Copeland,SF,30,IND,50,12,828,4.9,13.5,0.361,2.3,7.3,0.311,2.6,6.2,0.42,1.4,2,0.733,1,3.8,4.8,2.2,0.5,0.5,2.6,3.4,13.4
Bryce Cotton,PG,22,UTA,15,0,159,6.6,15.6,0.42,1.6,4.5,0.35,5,11.1,0.449,3.4,4.1,0.833,0.7,3.4,4.1,3.4,0.9,0,2.7,1.4,18.1
DeMarcus Cousins,C,24,SAC,59,59,2013,8.9,19.1,0.467,0,0.1,0.25,8.9,18.9,0.469,7.6,9.7,0.782,3.3,10.1,13.4,3.8,1.6,1.8,4.5,4.3,25.4
Robert Covington,SF,24,PHI,70,49,1956,5.5,13.9,0.396,3.1,8.2,0.374,2.4,5.7,0.426,3.3,4,0.82,1.2,4.6,5.8,1.9,1.8,0.6,2.4,3.5,17.4
Allen Crabbe,SG,22,POR,51,9,683,3.3,8.1,0.412,1.6,4.5,0.353,1.7,3.6,0.485,0.6,0.8,0.75,0.4,3.5,3.8,2.1,1,0.8,0.8,3.9,8.9
Jamal Crawford,SG,34,LAC,64,4,1703,7,17.7,0.396,2.5,7.7,0.327,4.5,10,0.448,4.8,5.3,0.901,0.4,2.2,2.6,3.3,1.2,0.3,1.9,2.3,21.4
Jae Crowder,SF,24,TOT,82,17,1647,5,11.9,0.42,1.3,4.5,0.293,3.7,7.4,0.499,2.4,3.1,0.773,1.6,4.8,6.4,2.1,1.6,0.5,1.1,3,13.7
